ASV_ID	F-2014-GULD04-1m-L	F-2014-GULD04-1m-S	F-2014-GULD04-20m-L	F-2014-GULD04-20m-S	F-2014-GULD04-250m-L	F-2014-GULD04-250m-S	F-2014-LL07-1m-S	F-2014-LL07-20m-S	F-2014-LL07-250m-L	F-2014-LL07-250m-S	F-2016-GULD04-1m-L	F-2016-GULD04-1m-S	F-2016-GULD04-20m-L	F-2016-GULD04-20m-S	F-2016-GULD04-250m-L	F-2016-GULD04-250m-S	F-2016-LL07-1m-L	F-2016-LL07-1m-S	F-2016-LL07-20m-L	F-2016-LL07-20m-S	F-2016-LL07-250m-L	F-2016-LL07-250m-S	F-2017-GULD04-1m-L	F-2017-GULD04-1m-S	F-2017-GULD04-20m-L	F-2017-GULD04-20m-S	F-2017-GULD04-250m-L	F-2017-GULD04-250m-S	F-2017-LL07-1m-L	F-2017-LL07-1m-S	F-2017-LL07-20m-L	F-2017-LL07-20m-S	F-2017-LL07-250m-L	F-2017-LL07-250m-S	S-2014-GULD04-1m-L	S-2014-GULD04-1m-S	S-2014-GULD04-20m-L	S-2014-GULD04-20m-S	S-2014-GULD04-250m-L	S-2014-GULD04-250m-S	S-2014-LL07-1m-L	S-2014-LL07-1m-S	S-2014-LL07-20m-L	S-2014-LL07-20m-S	S-2014-LL07-250m-L	S-2014-LL07-250m-S	S-2017-GULD04-1m-L	S-2017-GULD04-1m-S	S-2017-GULD04-20m-L	S-2017-GULD04-20m-S	S-2017-GULD04-250m-L	S-2017-GULD04-250m-S	S-2017-LL07-1m-L	S-2017-LL07-1m-S	S-2017-LL07-20m-L	S-2017-LL07-20m-S	S-2017-LL07-250m-L	S-2017-LL07-250m-S	S-2018-GULD04-1m-L	S-2018-GULD04-1m-S	S-2018-GULD04-20m-L	S-2018-GULD04-20m-S	S-2018-GULD04-250m-L	S-2018-GULD04-250m-S	S-2018-LL07-1m-L	S-2018-LL07-1m-S	S-2018-LL07-20m-L	S-2018-LL07-20m-S	S-2018-LL07-250m-L	S-2018-LL07-250m-S
e49c2ab9b592c1ab42d868bcd906a141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	17	994	61	292	0	183	0	160	0	79	0	0	0	0	0	0	0	5	0	8	3	0	0	0	0	0	0	5	0	0	43	0	0	0	0
0071e559ec3f48e6b3d55743a6343d08	0	0	0	0	0	0	0	0	9	0	0	0	29	0	92	0	0	0	7	0	0	0	10	0	10	4	3	0	19	0	34	0	161	0	260	0	145	0	0	0	639	0	473	0	0	0	45	0	50	0	7	0	34	0	143	0	0	0	19	4	25	0	0	0	0	13	8	0	0	0
f98dbccba64e07331d180aef51f5245c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	2043	0	4	0	4	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30d439390a39cad202dd368048fe51f7	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	18	0	10	0	28	0	32	0	0	0	524	14	98	0	0	0	28	0	37	0	0	0	254	0	118	0	9	0	0	0	44	0	0	0	0	0	0	0	0	0	68	0	96	0	0	0	659	0	165	6	0	0
bbb65e6355280290457102a93732e56d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	384	5	0	0	0	0	0	0
f0f7a420681e4c76fbc3d69e05c17c18	144	57	40	35	0	0	22	42	0	0	449	25	111	0	0	0	995	45	75	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d39f6f635f0b3d17814179db5d708b1f	10	106	0	70	0	0	124	253	0	0	0	0	0	88	0	0	0	0	0	0	0	0	7	195	0	224	0	0	0	178	0	118	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	104	0	111	0	0	5	96	0	133	0	0	0	0	0	0	0	186	0	0	0	0	0	0
c50fd2fafbbf442d189db08acbf6d99f	0	0	0	0	8	116	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	9	1277	53	18	0	8	0	256	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d489fee5188fbd596cabd0490d7ae1b	84	75	49	0	0	0	122	190	0	0	303	166	140	102	0	0	67	8	9	7	0	0	65	16	89	37	0	0	208	16	87	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8334592c02cb052a4b4339207110e35d	11	179	0	99	0	0	106	167	0	0	4	400	0	120	0	0	0	447	0	195	0	0	0	20	0	28	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	14	0	29	0	0	0	0	0	0
