Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
f577b37128c4e5f1757017623dd398af	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Suessiaceae	Pelagodinium	
f57fcee9b4745d63c5188ea05fd20926	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodiniphycidae	Katodinium	uncultured_eukaryote
f597f55926defa583138c076953fbfa5	Eukaryota	Retaria	RAD_B	RAD_B	RAD_B	RAD_B	uncultured_eukaryote
f59f649926598feeb4fc9c7d86f8f76c	Eukaryota	Haptophyta	Haptophyta	Haptophyta	Haptophyta	Haptophyta	
f5a3b9ea036cf12109f1492e8e11ded6	Eukaryota	Retaria	RAD_B	RAD_B	RAD_B	RAD_B	uncultured_eukaryote
f5bfaf1fd163352cea420af338ec9acf	Eukaryota	Retaria	RAD_B	RAD_B	RAD_B	RAD_B	uncultured_marine
f5e05bb10d1707b169dbee5c45773efe	Eukaryota	Diatomea	Coscinodiscophytina	Coscinodiscophytina	Melosirids	Stephanopyxis	Stephanopyxis_nipponica
f5e2eae0155eaa358623db5c41e17a92	Eukaryota	Cryptophyceae	Cryptophyceae	Cryptomonadales	Cryptomonadales		
f5fac530dedf9b41b20692ace0f1a1da	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae			
f5fcfaa3277139055626f9e97852a953	Eukaryota	Arthropoda	Maxillopoda	Calanoida	Calanoida	Calanoida	
f6082a7398178d2dae2361795d4abab0	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f60bd5b7301736caf7ded004f6870042	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f62b6f37004c58e73d33d4a9cf45588f	Eukaryota	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Telonema	uncultured_Telonema
f6500bb7175430f7ae21cfa6b0851896	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f6551f1a809dc01c34e787df1dfe3b1d	Eukaryota	Chlorophyta	Prasinophytae	Prasinophytae	Prasinophytae	Prasinophytae	Pyramimonas_australis
f656c1040394808559e5f3ee7b157c90	Eukaryota	Dinoflagellata	Dinophyceae				
f661fa9bfb9482272cf8ccf3f0df52ee	Eukaryota	Arthropoda	Maxillopoda	Cyclopoida	Cyclopoida	Cyclopoida	uncultured_eukaryote
f6999bd134c4633c183c2e4128dc7581	Eukaryota	Retaria	Polycystinea	Nassellaria	Nassellaria	Ceratospyris	uncultured_eukaryote
f6b34f9e137c5247399ef9fb82381483	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_III	Syndiniales_Group_III	uncultured_eukaryote
f6b7ae6aae6107b387c3ca275ff11a56	Eukaryota	Dinoflagellata	Dinophyceae	uncultured	uncultured	uncultured	
