ASV_ID	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	Selected_Prefix
3e1f0716f24de847d79ef2832b1f46fd	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.5	blst_
57680f8fe977e4b93caafd336204f7d4	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.789	blst_
cc65cdab84c0966391536357b5511b49	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	86.957	blst_
5a52ef0165d6e0a320dfdf25be5e1e90	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.368	blst_
cd539791cb6d8390796b43a45d121c48	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.375	blst_
066c036eee4a6817b0ff2a6cdf28ff48	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.805	blst_
fe0036b1f7c2ddbcc8f120df097d29e9	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	81.994	blst_
f042f2c76ba9113e1d73a01e749d6296	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	86.416	blst_
b072c1594d862334efc79ca42e480154	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	83.333	blst_
7b2f0d8a29a9914db2b79af801be05f2	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	82.958	blst_
36f2dbcf20d76d0e37241c3bfadde100	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	84.936	blst_
70b210f91779f18c58dc8c7267c094c4	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	90.883	blst_
b10e4b3792789601cca6c967e97e6e4f	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	85.549	blst_
9467a372ddc9cf2a8c1560d7523fedb5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	79.885	blst_
ce74d02d8e078270023e0f77e01b99bb	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.54	blst_
f2f105259467749e8976af6dab47070f	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.901	blst_
e54c68f819c0758f87b48d4d27137dcf	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.906	blst_
10af6ea2c6bb86e0bd395e18e3905e78	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	NA	92.013	blst_
e74fb6fa87ec325a74321204287688c3	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.046	blst_
db327a81c5960642a47db6628ab6f1de	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	87.977	blst_
15e65d8543aa26bdc59a173a2bbc3aa2	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	82.637	blst_
534dcf9b27cfadac6d94ea2cfa516cdc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.734	blst_
e9094806847e84bd097a131ece7c7d04	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.627	blst_
c72483cdefbedff18022bcf9158afacb	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	80.769	blst_
7bcf89a0e868e11258bb7eb2260a1c45	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	85.549	blst_
f984935399ca59219b98a132f679622c	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.039	blst_
c01075f4ee8b40362a8c4e245c33ea69	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.615	blst_
ddb11c7d5524242c31c40d32c4fa0dfa	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.262	blst_
89ad7093db241b16574b90163e4d026c	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	NA	NA	NA	75.269	blst_
cc514dc48cea3003228243f8282a8035	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	90.705	blst_
a0f5f9522c7e5b5830e70453c2d7497b	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	83.492	blst_
320a7b54e30f0f38b7080a4788fc1ca7	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	NA	92.308	blst_
c2c5915215d7a6b016b0fe0150340ea4	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.227	blst_
13d30cf56acf92c999a854e18f692f13	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.651	blst_
1eb1889fdc471ea415e202d67fb145db	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.581	blst_
5aa1ee077f15fb9530e86156a15b830d	Bacteria	NA	NA	NA	NA	NA	NA	81.953	blst_
2e2cc9f35ec2d80daa12d6e8d2fe54ba	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	83.654	blst_
c12c0ae03706c7c294e45e7b7450579e	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. IMCC9063	99.14	blst_
8924067bb885c749ed7d41bad4910916	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.923	blst_
